route,xD,yD,xF,yF,tmja,tmja1,tmja2,tmja3,tmja4,tmja5
N0004,"817491,61","6849974,76","818027,02","6849766,89",18645.0,18305.0,18148.0,18617.0,19041.0,0.0
N0004,"818027,02","6849766,89","819056,87","6849095,72",18645.0,18305.0,18148.0,18617.0,19041.0,0.0
N0004,"819056,87","6849095,72","819204,76","6848945,64",18645.0,18305.0,18148.0,18617.0,19041.0,0.0
N0004,"819204,76","6848945,64","820432,63","6847218,78",18645.0,18305.0,18148.0,18617.0,19041.0,0.0
N0004,"820432,63","6847218,78","820621,06","6847027,82",19220.0,18869.0,18707.0,19190.0,19627.0,0.0
N0004,"820621,06","6847027,82","820729,5","6846945,2",19220.0,18869.0,18707.0,19190.0,19627.0,0.0
N0004,"820729,5","6846945,2","820932,57","6846827,04",19220.0,18869.0,18707.0,19190.0,19627.0,0.0
N0004,"820932,57","6846827,04","821191,53","6846719,31",19220.0,18869.0,18707.0,19190.0,19627.0,0.0
N0004,"821191,53","6846719,31","821582,84","6846573,16",19220.0,18869.0,18707.0,19190.0,19627.0,0.0
N0004,"821582,84","6846573,16","822123,33","6846354,21",19220.0,18869.0,18707.0,19190.0,19627.0,0.0
N0004,"822123,33","6846354,21","822211,07","6846312,82",19220.0,18869.0,18707.0,19190.0,19627.0,0.0
N0004,"822211,07","6846312,82","831162,09","6842490,59",19220.0,18869.0,18707.0,19190.0,19627.0,0.0
N0004,"831162,09","6842490,59","840983,57","6839519,37",20150.0,0.0,19724.0,20517.0,20987.0,0.0
N0004,"840983,57","6839519,37","847243,72","6838261,75",,,,,,
N0004,"847243,72","6838261,75","902395,49","6845705,46",,,,,,
N0004,"902395,49","6845705,46","984557,12","6841093,27",,,,,,
N0004,"984557,12","6841093,27","986278,34","6843159,64",0.0,0.0,0.0,0.0,0.0,0.0
N0004,"986278,34","6843159,64","988838,79","6845999,25",9977.0,9826.0,0.0,0.0,0.0,0.0
N0004,"988838,79","6845999,25","989875,08","6847453,35",9977.0,9826.0,0.0,0.0,0.0,0.0
N0004,"989875,08","6847453,35","991079,41","6850864,47",9977.0,9826.0,0.0,0.0,0.0,0.0
N0004,"991079,41","6850864,47","991074,06","6850899,86",9977.0,9826.0,0.0,0.0,0.0,0.0
N0004,"991074,06","6850899,86","991305,94","6851492,02",9977.0,9826.0,0.0,0.0,0.0,0.0
N0004,"991305,94","6851492,02","991567,73","6851627,24",9977.0,9826.0,0.0,0.0,0.0,0.0
N0004,"991567,73","6851627,24","1011385,64","6860427,26",,,,,,
N0004,"1039307,89","6843580,27","1042241,16","6843828,62",,,,,,
N0004,"1042241,16","6843828,62","1042267,27","6843822,12",24708.0,24688.0,25628.0,25082.0,25048.0,0.0
N0004,"1042267,27","6843822,12","1043743,05","6842929,88",24708.0,24688.0,25628.0,25082.0,25048.0,0.0
N0004,"1043743,05","6842929,88","1043744,75","6842928,85",,,,,,
N0004,"1048581,88","6841047,22","1049097,59","6840550,55",0.0,0.0,63759.0,65752.0,65490.0,66967.0
N0004,"1049097,59","6840550,55","1049624,32","6840539,11",0.0,0.0,63759.0,65752.0,65490.0,66967.0
N0004,"1049624,32","6840539,11","1049625,41","6840539,31",0.0,0.0,63759.0,65752.0,65490.0,66967.0
N0005,"905861,87","6641819,69","906456,84","6641164,43",0.0,0.0,0.0,5086.0,0.0,0.0
N0005,"906456,84","6641164,43","906402,31","6640714,32",0.0,0.0,0.0,5086.0,0.0,0.0
N0005,"906402,31","6640714,32","915796,23","6637570,52",0.0,0.0,0.0,5086.0,0.0,0.0
N0005,"915796,23","6637570,52","920929,52","6635153,15",0.0,0.0,0.0,4687.0,0.0,0.0
N0005,"920929,52","6635153,15","921852,46","6632988,79",0.0,0.0,0.0,8018.0,0.0,0.0
N0005,"921852,46","6632988,79","923307,22","6631405,11",0.0,0.0,0.0,6312.0,0.0,0.0
N0005,"923307,22","6631405,11","923228,87","6629417,87",5073.0,0.0,0.0,5954.0,0.0,0.0
N0005,"923228,87","6629417,87","926577,75","6613243,92",5819.0,0.0,0.0,6829.0,0.0,0.0
N0005,"926577,75","6613243,92","929120,75","6612016,65",6199.0,0.0,0.0,7276.0,0.0,0.0
N0005,"929120,75","6612016,65","931148,26","6609244,79",6199.0,0.0,0.0,7276.0,0.0,0.0
N0005,"931148,26","6609244,79","931624,88","6607567,94",6199.0,0.0,0.0,7276.0,0.0,0.0
N0005,"931624,88","6607567,94","935365,13","6600998,01",7601.0,0.0,0.0,8921.0,8541.0,8531.0
N0006,"658651,21","6853683,95","658775,38","6852946,52",,,,,,
N0006,"658775,38","6852946,52","658820,44","6852667,43",50700.0,50700.0,50700.0,50738.0,52461.0,53679.0
N0006,"658820,44","6852667,43","659037,54","6851341,01",50700.0,50700.0,50700.0,50738.0,52461.0,53679.0
N0006,"659037,54","6851341,01","659067,44","6851155,31",50700.0,50700.0,50700.0,50738.0,52461.0,53679.0
N0006,"659067,44","6851155,31","659138,3","6850705,71",50700.0,50700.0,50700.0,50738.0,52461.0,53679.0
N0006,"659138,3","6850705,71","659309,89","6848584,2",53300.0,53300.0,53300.0,53300.0,53300.0,53300.0
N0006,"659309,89","6848584,2","659234,83","6847692,8",,,,,,
N0006,"659234,83","6847692,8","659167,06","6847536,41",34928.0,37739.0,34479.0,34927.0,36053.0,41542.0
N0006,"659167,06","6847536,41","659108,5","6847162,61",34928.0,37739.0,34479.0,34927.0,36053.0,41542.0
N0006,"659108,5","6847162,61","659093,1","6847143,05",34928.0,37739.0,34479.0,34927.0,36053.0,41542.0
N0006,"659093,1","6847143,05","659023,15","6846914,55",34928.0,37739.0,34479.0,34927.0,36053.0,41542.0
N0006,"659023,15","6846914,55","662215,68","6843004,77",35948.0,35516.0,35200.0,34388.0,34859.0,34615.0
N0006,"662215,68","6843004,77","665757,76","6837726,88",,,,,,
N0006,"741020,13","6749862,29","741171,26","6749408,6",23915.0,23765.0,23544.0,0.0,23721.0,23740.0
N0006,"741171,26","6749408,6","741439,05","6747849,11",23915.0,23765.0,23544.0,0.0,23721.0,23740.0
N0006,"741439,05","6747849,11","741743,08","6746892,05",23915.0,23765.0,23544.0,0.0,23721.0,23740.0
N0006,"741743,08","6746892,05","743429,29","6746861,91",12136.0,12060.0,11948.0,0.0,12038.0,12048.0
N0006,"743429,29","6746861,91","744999,95","6743355,44",12136.0,12060.0,11948.0,0.0,12038.0,12048.0
